label	evaluation
0	唉，明天要地理生物结业考了，我这几天情绪不太好，经常发呆，容易发怒，经常烦躁，总是莫名其妙的想哭，然后也不管在哪里，就使劲扣自己，感觉做什么都没有意思，活着累。。
1	我有明珠一颗，照破山河万朵，远观少年忧郁清冷，在靠近些就会发现他纯粹且澄澈，譬如朝露，譬如晨光，譬如初雪，干净而美好。
0	想说点啥，但又啥都说不出来，也没有一个可以倾诉的人，感觉好孤独，想了一下，如果有一个这样的朋友，那我会说些什么，好像也还是什么都说不出来，生而为人，不大乐意啊~
1	希望你在未来的日子里，依然能快乐自在地生活，永远看得见阳光。对待任何事情都能保持炙热，坚持下去！甩开烦恼，珍惜当下。愿我们都能成为最好的自己！平安喜乐，迎风奔跑吧～ ???
1	肖战演技好 肖战唱歌好听 肖战作品好看 期待肖战余生请多指教 期待肖战顾魏 期待肖战斗罗大陆?期待肖战唐三 肖战粉丝支持肖战代言支持肖战影视综艺肖战顺顺利利肖战最棒肖战好帅?肖战疾冲 狼殿下肖战
0	独来独往...似乎已经成了一种习惯白天我是精神失常，疯疯癫癫的女汉子，晚上我是躲在角落痛苦不堪的妖...
0	深夜了，我又想死了 我不知道是什么一直耗着我的生命 是白天的车水马龙 还是父母无声的付出 可是我真的太难过了 不知名的一种难过 我不知道还能撑多久 每天浑浑噩噩 我想结束了
1	肖战愿世界温柔待你，愿岁月静好如初。愿你身后总有力量，愿你身前常有太阳愿你向前繁华似锦，愿你劫后涅槃重生。愿一切好运都给予你
1	肖战的声音干净温暖，就如他的笑容、他的为人，喜欢肖战，遇见你是故事的开始，走到底是余生的欢喜
1	柳岩姐姐原来唱歌也很好听呀！虽然一直贴有性感的标签，但是不可否认的是她一直都很敬业一直都很努力呢，姐姐好棒！加油加油
0	因为心情原因，兼职请假又请假，经理也烦了，不过谁又能知道我因为生了病，一次次去怀疑自己，我控制不住自己啊，我能有什么办法。不是我不想去，是我去不了啊
0	不应该啊！我成绩明明那么好的！为什么？为什么？为什么啊啊啊啊啊！我不敢顶嘴，我胆小懦弱，从小到大我只是听从爸爸妈妈的意见，以至于我的成绩很好，可现在，那种痛苦，居然那么真实，不该，恨，痛，厌，这不是我，不是我，我没有这么差，你们听完解释，可，没人人会听，老师的指责，父母的责备...
1	我真的从来没有一次像现在这样对一首歌动心过哈哈哈哈哈哈哈哈哈哈真的很好玩的
0	主要是don’t move那里停顿的很诡异 其他就普通funk节奏 说不上像不像 能这样不错了[多多无语]
0	对生活没有了激情，也不想去寻找能让生活有激情的事，不屑去做，认为这种事情低俗幼稚，或者单纯就是懒得去做，做了也没有好结果，最后，一个人哀叹生活。
0	不敢在轻易付出，不想再被感情折磨，来的太晚的最爱，已经没有意义啊
0	直到所有人都在责备我的不懂事，不解我的变化，抱怨我的坏脾气，我的堕落，逼迫我独立，抛下我一个人的时候，没人懂我的喜怒哀乐，了解我的爱好，没人知道我身上的疤从何而来，没人知道我掉过的眼泪，我满手鲜血，是我对自己的惩罚，如此。才会心安吧。我可能是真的病了…
1	我们都是追梦人，在今天勇敢向未来报到，当明天幸福向我们问好，最美的风景是拥抱。
0	我默默离开，看你们欢笑嬉闹。你们不用知道我有多不舍。不会在意我要去到何方。也许连我自己也不清楚。只是我要离开。再见，再也别见
1	正能量青年演员、歌手肖战与歌手魏允熙 共同演绎的我们都是追梦人唱出了对青春美好的憧憬，肖战的歌声温暖、坚定又真诚，唱出了当代青年对于追逐梦想执着的信念。魏允熙用她富有穿透力的明亮嗓音，给予我们奋斗的力量，激励着我们奋勇向前。我们都是追梦人！
1	JUSTICE是3月19日的专辑。在这个破碎的星球有如此多的错误的时候，我们都渴望治愈和为人类伸张正义。创作这张专辑时，我的目标是创作出能给人带来安慰的音乐，创作出能让人产生共鸣的歌曲，这样他们就不会感到孤独。苦难、公和痛苦会让人感到无助。音乐是提醒彼此我们并不孤单的好方法。
1	庆幸我们打败了世界疫情，新的一年希望我们也能做到更好一起砥砺前行，也希望世界早日打败美好的生活
0	下个星期我就要去看心理医生了 我越来越觉得自己病了 好像是抑郁好像是躁郁 又像是边缘性人格障碍 有时候觉得自己像个演员 拼命地嘶吼 拼命地哭泣 拼命地大笑 没有真真切切地喜欢与讨厌 没有准确可以让我前进走下去的目标 我好累啊 希望下个星期会好点 会慢慢好起来
0	我也是这样啊 迷茫 不知道想要什么 喜欢什么 但是不能没有朋友但又不喜欢那些朋友 很烦
1	“防疫有我”“社区有我”“车站有我”“会场有我”“西部有我”“基层有我”“海外有我”……志愿者的身影总是出现在每一个有需要的地方。3月5日是学雷锋纪念日，也是中国青年志愿者服务日。半个多世纪以来，雷锋精神已经内化为每个中国人心中向上向善的力量。雷锋精神没有过时
0	活的很累但是不敢死，夜晚的时间很长足够应付难过的情绪，天一亮就又是假装快乐的一天……
1	镇魂街的bgm算是国漫里面很棒的了，动画也算是漫改里面比较成功的，不敢说什么“国漫崛起”什么的，不过只要中国的动漫人用心做，不愁没有好作品。真心期待第二季！
0	今天做梦梦到你谈恋爱了 头好痛 又是预感吗 受不了啦 真的 如果是的话 我真的受不住 真的 太伤人了 太难过了
0	其实不太喜欢这首歌，我觉得很像18年的我们，一首粤语一首国语，后者当时我常听，直到是但求其爱出来，我还记得那晚我等到十一点四十五左右困得不行，第二天十点左右醒来躺着听的。听完很难受，不知道难受什么。再后来，这两首我都极少听，也是那个时候我才发现自己终于学会了规避痛苦。
0	我对你进入我世界的最高礼仪是网易云互相关注，可是你取关了 我。或许每个人都有不同的生活方式和习惯，你的行为或许并非本意，又或者你认为这不是什么大事，但是我真的有点接受不了，我又不知道以怎样的身份表达我的难过和情绪，如果说出来你会认为我不讲理但我真的心里不舒服。
